Action space: 4
Episode 1 | Reward: 2.0 | Epsilon 1.000
Episode 2 | Reward: 3.0 | Epsilon 0.999
Episode 3 | Reward: 3.0 | Epsilon 0.998
Episode 4 | Reward: 1.0 | Epsilon 0.998
Episode 5 | Reward: 3.0 | Epsilon 0.998
Episode 6 | Reward: 2.0 | Epsilon 0.997
Episode 7 | Reward: 0.0 | Epsilon 0.997
Episode 8 | Reward: 0.0 | Epsilon 0.997
Episode 9 | Reward: 0.0 | Epsilon 0.996
Episode 10 | Reward: 1.0 | Epsilon 0.996
Episode 11 | Reward: 0.0 | Epsilon 0.996
Episode 12 | Reward: 0.0 | Epsilon 0.995
Episode 13 | Reward: 1.0 | Epsilon 0.995
Episode 14 | Reward: 0.0 | Epsilon 0.995
Episode 15 | Reward: 0.0 | Epsilon 0.995
Episode 16 | Reward: 0.0 | Epsilon 0.994
Episode 17 | Reward: 3.0 | Epsilon 0.994
Episode 18 | Reward: 1.0 | Epsilon 0.993
Episode 19 | Reward: 3.0 | Epsilon 0.993
Episode 20 | Reward: 2.0 | Epsilon 0.992
Episode 21 | Reward: 1.0 | Epsilon 0.992
Episode 22 | Reward: 3.0 | Epsilon 0.991
Episode 23 | Reward: 2.0 | Epsilon 0.991
Episode 24 | Reward: 1.0 | Epsilon 0.991
Episode 25 | Reward: 0.0 | Epsilon 0.990
Episode 26 | Reward: 0.0 | Epsilon 0.990
Episode 27 | Reward: 3.0 | Epsilon 0.990
Episode 28 | Reward: 0.0 | Epsilon 0.989
Episode 29 | Reward: 1.0 | Epsilon 0.989
Episode 30 | Reward: 2.0 | Epsilon 0.988
Episode 31 | Reward: 2.0 | Epsilon 0.988
Episode 32 | Reward: 1.0 | Epsilon 0.988
Episode 33 | Reward: 1.0 | Epsilon 0.987
Episode 34 | Reward: 0.0 | Epsilon 0.987
Episode 35 | Reward: 3.0 | Epsilon 0.987
Episode 36 | Reward: 2.0 | Epsilon 0.986
Episode 37 | Reward: 0.0 | Epsilon 0.986
Episode 38 | Reward: 1.0 | Epsilon 0.986
Episode 39 | Reward: 1.0 | Epsilon 0.985
Episode 40 | Reward: 4.0 | Epsilon 0.985
Episode 41 | Reward: 1.0 | Epsilon 0.984
Episode 42 | Reward: 1.0 | Epsilon 0.984
Episode 43 | Reward: 1.0 | Epsilon 0.984
Episode 44 | Reward: 0.0 | Epsilon 0.983
Episode 45 | Reward: 2.0 | Epsilon 0.983
Episode 46 | Reward: 0.0 | Epsilon 0.983
Episode 47 | Reward: 4.0 | Epsilon 0.982
Episode 48 | Reward: 1.0 | Epsilon 0.982
Episode 49 | Reward: 1.0 | Epsilon 0.981
Episode 50 | Reward: 0.0 | Epsilon 0.981
Episode 51 | Reward: 4.0 | Epsilon 0.981
Episode 52 | Reward: 3.0 | Epsilon 0.980
Target updated at step 10000
Episode 53 | Reward: 0.0 | Epsilon 0.980
Episode 54 | Reward: 0.0 | Epsilon 0.980
Episode 55 | Reward: 0.0 | Epsilon 0.979
Episode 56 | Reward: 3.0 | Epsilon 0.979
Episode 57 | Reward: 1.0 | Epsilon 0.978
Episode 58 | Reward: 0.0 | Epsilon 0.978
Episode 59 | Reward: 4.0 | Epsilon 0.978
Episode 60 | Reward: 3.0 | Epsilon 0.977
Episode 61 | Reward: 0.0 | Epsilon 0.977
Episode 62 | Reward: 1.0 | Epsilon 0.977
Episode 63 | Reward: 0.0 | Epsilon 0.976
Episode 64 | Reward: 0.0 | Epsilon 0.976
Episode 65 | Reward: 2.0 | Epsilon 0.975
Episode 66 | Reward: 3.0 | Epsilon 0.975
Episode 67 | Reward: 1.0 | Epsilon 0.975
Episode 68 | Reward: 1.0 | Epsilon 0.974
Episode 69 | Reward: 0.0 | Epsilon 0.974
Episode 70 | Reward: 1.0 | Epsilon 0.974
Episode 71 | Reward: 3.0 | Epsilon 0.973
Episode 72 | Reward: 2.0 | Epsilon 0.973
Episode 73 | Reward: 2.0 | Epsilon 0.972
Episode 74 | Reward: 1.0 | Epsilon 0.972
Episode 75 | Reward: 1.0 | Epsilon 0.972
Episode 76 | Reward: 2.0 | Epsilon 0.971
Episode 77 | Reward: 1.0 | Epsilon 0.971
Episode 78 | Reward: 1.0 | Epsilon 0.971
Episode 79 | Reward: 0.0 | Epsilon 0.970
Target updated at step 15000
Episode 80 | Reward: 1.0 | Epsilon 0.970
Episode 81 | Reward: 1.0 | Epsilon 0.969
Episode 82 | Reward: 0.0 | Epsilon 0.969
Episode 83 | Reward: 1.0 | Epsilon 0.969
Episode 84 | Reward: 0.0 | Epsilon 0.969
Episode 85 | Reward: 2.0 | Epsilon 0.968
Episode 86 | Reward: 1.0 | Epsilon 0.968
Episode 87 | Reward: 2.0 | Epsilon 0.967
Episode 88 | Reward: 0.0 | Epsilon 0.967
Episode 89 | Reward: 2.0 | Epsilon 0.967
Episode 90 | Reward: 0.0 | Epsilon 0.966
Episode 91 | Reward: 1.0 | Epsilon 0.966
Episode 92 | Reward: 2.0 | Epsilon 0.966
Episode 93 | Reward: 2.0 | Epsilon 0.965
Episode 94 | Reward: 1.0 | Epsilon 0.965
Episode 95 | Reward: 1.0 | Epsilon 0.965
Episode 96 | Reward: 3.0 | Epsilon 0.964
Episode 97 | Reward: 4.0 | Epsilon 0.963
Episode 98 | Reward: 2.0 | Epsilon 0.963
Episode 99 | Reward: 2.0 | Epsilon 0.963
Episode 100 | Reward: 3.0 | Epsilon 0.962
Episode 101 | Reward: 0.0 | Epsilon 0.962
Episode 102 | Reward: 1.0 | Epsilon 0.961
Episode 103 | Reward: 1.0 | Epsilon 0.961
Episode 104 | Reward: 3.0 | Epsilon 0.961
Episode 105 | Reward: 3.0 | Epsilon 0.960
Target updated at step 20000
Episode 106 | Reward: 2.0 | Epsilon 0.960
Episode 107 | Reward: 1.0 | Epsilon 0.959
Episode 108 | Reward: 3.0 | Epsilon 0.959
Episode 109 | Reward: 1.0 | Epsilon 0.958
Episode 110 | Reward: 0.0 | Epsilon 0.958
