Action space: 4
Episode 1 | Reward: 1.0 | Epsilon 1.000
Episode 2 | Reward: 0.0 | Epsilon 1.000
Episode 3 | Reward: 1.0 | Epsilon 1.000
Episode 4 | Reward: 2.0 | Epsilon 0.999
Episode 5 | Reward: 0.0 | Epsilon 0.999
Episode 6 | Reward: 0.0 | Epsilon 0.999
Episode 7 | Reward: 2.0 | Epsilon 0.999
Episode 8 | Reward: 0.0 | Epsilon 0.999
Episode 9 | Reward: 0.0 | Epsilon 0.999
Episode 10 | Reward: 1.0 | Epsilon 0.998
Episode 11 | Reward: 0.0 | Epsilon 0.998
Episode 12 | Reward: 1.0 | Epsilon 0.998
Episode 13 | Reward: 4.0 | Epsilon 0.998
Episode 14 | Reward: 0.0 | Epsilon 0.998
Episode 15 | Reward: 0.0 | Epsilon 0.997
Episode 16 | Reward: 0.0 | Epsilon 0.997
Episode 17 | Reward: 0.0 | Epsilon 0.997
Episode 18 | Reward: 1.0 | Epsilon 0.997
Episode 19 | Reward: 2.0 | Epsilon 0.997
Episode 20 | Reward: 1.0 | Epsilon 0.997
Episode 21 | Reward: 3.0 | Epsilon 0.996
Episode 22 | Reward: 1.0 | Epsilon 0.996
Episode 23 | Reward: 2.0 | Epsilon 0.996
Episode 24 | Reward: 1.0 | Epsilon 0.996
Episode 25 | Reward: 3.0 | Epsilon 0.996
Episode 26 | Reward: 0.0 | Epsilon 0.995
Episode 27 | Reward: 1.0 | Epsilon 0.995
Episode 28 | Reward: 1.0 | Epsilon 0.995
Episode 29 | Reward: 0.0 | Epsilon 0.995
Episode 30 | Reward: 0.0 | Epsilon 0.995
Episode 31 | Reward: 7.0 | Epsilon 0.994
Episode 32 | Reward: 1.0 | Epsilon 0.994
Episode 33 | Reward: 0.0 | Epsilon 0.994
Episode 34 | Reward: 1.0 | Epsilon 0.994
Episode 35 | Reward: 5.0 | Epsilon 0.994
Episode 36 | Reward: 2.0 | Epsilon 0.993
Episode 37 | Reward: 0.0 | Epsilon 0.993
Episode 38 | Reward: 3.0 | Epsilon 0.993
Episode 39 | Reward: 1.0 | Epsilon 0.993
Episode 40 | Reward: 3.0 | Epsilon 0.993
Episode 41 | Reward: 1.0 | Epsilon 0.992
Episode 42 | Reward: 1.0 | Epsilon 0.992
Episode 43 | Reward: 1.0 | Epsilon 0.992
Episode 44 | Reward: 0.0 | Epsilon 0.992
Episode 45 | Reward: 1.0 | Epsilon 0.992
Episode 46 | Reward: 1.0 | Epsilon 0.992
Episode 47 | Reward: 0.0 | Epsilon 0.991
Episode 48 | Reward: 0.0 | Epsilon 0.991
Episode 49 | Reward: 1.0 | Epsilon 0.991
Episode 50 | Reward: 0.0 | Epsilon 0.991
Episode 51 | Reward: 2.0 | Epsilon 0.991
Episode 52 | Reward: 2.0 | Epsilon 0.991
Episode 53 | Reward: 0.0 | Epsilon 0.990
Episode 54 | Reward: 0.0 | Epsilon 0.990
Target updated at step 10000
Episode 55 | Reward: 3.0 | Epsilon 0.990
Episode 56 | Reward: 1.0 | Epsilon 0.990
Episode 57 | Reward: 0.0 | Epsilon 0.990
Episode 58 | Reward: 0.0 | Epsilon 0.990
Episode 59 | Reward: 0.0 | Epsilon 0.989
Episode 60 | Reward: 4.0 | Epsilon 0.989
Episode 61 | Reward: 0.0 | Epsilon 0.989
Episode 62 | Reward: 3.0 | Epsilon 0.989
Episode 63 | Reward: 0.0 | Epsilon 0.989
Episode 64 | Reward: 2.0 | Epsilon 0.988
Episode 65 | Reward: 2.0 | Epsilon 0.988
Episode 66 | Reward: 2.0 | Epsilon 0.988
Episode 67 | Reward: 2.0 | Epsilon 0.988
Episode 68 | Reward: 2.0 | Epsilon 0.987
Episode 69 | Reward: 4.0 | Epsilon 0.987
Episode 70 | Reward: 3.0 | Epsilon 0.987
Episode 71 | Reward: 1.0 | Epsilon 0.987
Episode 72 | Reward: 0.0 | Epsilon 0.987
Episode 73 | Reward: 2.0 | Epsilon 0.986
Episode 74 | Reward: 1.0 | Epsilon 0.986
Episode 75 | Reward: 2.0 | Epsilon 0.986
Episode 76 | Reward: 0.0 | Epsilon 0.986
Episode 77 | Reward: 2.0 | Epsilon 0.986
Episode 78 | Reward: 0.0 | Epsilon 0.985
Episode 79 | Reward: 3.0 | Epsilon 0.985
Episode 80 | Reward: 1.0 | Epsilon 0.985
Target updated at step 15000
Episode 81 | Reward: 1.0 | Epsilon 0.985
Episode 82 | Reward: 3.0 | Epsilon 0.985
Episode 83 | Reward: 0.0 | Epsilon 0.984
Episode 84 | Reward: 2.0 | Epsilon 0.984
Episode 85 | Reward: 0.0 | Epsilon 0.984
Episode 86 | Reward: 0.0 | Epsilon 0.984
Episode 87 | Reward: 0.0 | Epsilon 0.984
Episode 88 | Reward: 0.0 | Epsilon 0.984
Episode 89 | Reward: 3.0 | Epsilon 0.983
Episode 90 | Reward: 2.0 | Epsilon 0.983
Episode 91 | Reward: 3.0 | Epsilon 0.983
Episode 92 | Reward: 0.0 | Epsilon 0.983
Episode 93 | Reward: 2.0 | Epsilon 0.983
Episode 94 | Reward: 0.0 | Epsilon 0.982
Episode 95 | Reward: 0.0 | Epsilon 0.982
Episode 96 | Reward: 0.0 | Epsilon 0.982
Episode 97 | Reward: 0.0 | Epsilon 0.982
Episode 98 | Reward: 3.0 | Epsilon 0.982
Episode 99 | Reward: 0.0 | Epsilon 0.982
Episode 100 | Reward: 1.0 | Epsilon 0.981
Episode 101 | Reward: 0.0 | Epsilon 0.981
Episode 102 | Reward: 2.0 | Epsilon 0.981
Episode 103 | Reward: 0.0 | Epsilon 0.981
Episode 104 | Reward: 2.0 | Epsilon 0.981
Episode 105 | Reward: 0.0 | Epsilon 0.981
Episode 106 | Reward: 2.0 | Epsilon 0.980
Episode 107 | Reward: 0.0 | Epsilon 0.980
Episode 108 | Reward: 3.0 | Epsilon 0.980
Target updated at step 20000
Episode 109 | Reward: 0.0 | Epsilon 0.980
Episode 110 | Reward: 4.0 | Epsilon 0.980
Episode 111 | Reward: 1.0 | Epsilon 0.979
Episode 112 | Reward: 5.0 | Epsilon 0.979
Episode 113 | Reward: 1.0 | Epsilon 0.979
Episode 114 | Reward: 0.0 | Epsilon 0.979
Episode 115 | Reward: 2.0 | Epsilon 0.979
Episode 116 | Reward: 0.0 | Epsilon 0.978
Episode 117 | Reward: 2.0 | Epsilon 0.978
Episode 118 | Reward: 1.0 | Epsilon 0.978
Episode 119 | Reward: 0.0 | Epsilon 0.978
Episode 120 | Reward: 1.0 | Epsilon 0.978
Episode 121 | Reward: 1.0 | Epsilon 0.978
Episode 122 | Reward: 1.0 | Epsilon 0.977
Episode 123 | Reward: 1.0 | Epsilon 0.977
Episode 124 | Reward: 0.0 | Epsilon 0.977
Episode 125 | Reward: 2.0 | Epsilon 0.977
Episode 126 | Reward: 1.0 | Epsilon 0.977
Episode 127 | Reward: 2.0 | Epsilon 0.977
Episode 128 | Reward: 2.0 | Epsilon 0.976
Episode 129 | Reward: 4.0 | Epsilon 0.976
Episode 130 | Reward: 3.0 | Epsilon 0.976
Episode 131 | Reward: 0.0 | Epsilon 0.976
Episode 132 | Reward: 3.0 | Epsilon 0.975
Episode 133 | Reward: 1.0 | Epsilon 0.975
Target updated at step 25000
Episode 134 | Reward: 3.0 | Epsilon 0.975
Episode 135 | Reward: 2.0 | Epsilon 0.975
Episode 136 | Reward: 0.0 | Epsilon 0.975
Episode 137 | Reward: 10.0 | Epsilon 0.974
Episode 138 | Reward: 1.0 | Epsilon 0.974
Episode 139 | Reward: 4.0 | Epsilon 0.974
Episode 140 | Reward: 3.0 | Epsilon 0.973
Episode 141 | Reward: 2.0 | Epsilon 0.973
Episode 142 | Reward: 0.0 | Epsilon 0.973
Episode 143 | Reward: 1.0 | Epsilon 0.973
Episode 144 | Reward: 1.0 | Epsilon 0.973
Episode 145 | Reward: 0.0 | Epsilon 0.973
Episode 146 | Reward: 0.0 | Epsilon 0.972
Episode 147 | Reward: 1.0 | Epsilon 0.972
Episode 148 | Reward: 0.0 | Epsilon 0.972
Episode 149 | Reward: 8.0 | Epsilon 0.972
Episode 150 | Reward: 1.0 | Epsilon 0.972
Episode 151 | Reward: 0.0 | Epsilon 0.971
Episode 152 | Reward: 0.0 | Epsilon 0.971
Episode 153 | Reward: 0.0 | Epsilon 0.971
Episode 154 | Reward: 1.0 | Epsilon 0.971
Episode 155 | Reward: 0.0 | Epsilon 0.971
Episode 156 | Reward: 1.0 | Epsilon 0.971
Episode 157 | Reward: 1.0 | Epsilon 0.970
Episode 158 | Reward: 4.0 | Epsilon 0.970
Episode 159 | Reward: 0.0 | Epsilon 0.970
Target updated at step 30000
Episode 160 | Reward: 0.0 | Epsilon 0.970
Episode 161 | Reward: 1.0 | Epsilon 0.970
Episode 162 | Reward: 0.0 | Epsilon 0.970
Episode 163 | Reward: 2.0 | Epsilon 0.969
Episode 164 | Reward: 0.0 | Epsilon 0.969
Episode 165 | Reward: 1.0 | Epsilon 0.969
Episode 166 | Reward: 1.0 | Epsilon 0.969
Episode 167 | Reward: 0.0 | Epsilon 0.969
Episode 168 | Reward: 1.0 | Epsilon 0.969
Episode 169 | Reward: 1.0 | Epsilon 0.968
Episode 170 | Reward: 0.0 | Epsilon 0.968
Episode 171 | Reward: 4.0 | Epsilon 0.968
Episode 172 | Reward: 1.0 | Epsilon 0.968
Episode 173 | Reward: 3.0 | Epsilon 0.967
Episode 174 | Reward: 2.0 | Epsilon 0.967
Episode 175 | Reward: 2.0 | Epsilon 0.967
Episode 176 | Reward: 0.0 | Epsilon 0.967
Episode 177 | Reward: 4.0 | Epsilon 0.967
Episode 178 | Reward: 0.0 | Epsilon 0.966
Episode 179 | Reward: 3.0 | Epsilon 0.966
Episode 180 | Reward: 3.0 | Epsilon 0.966
Episode 181 | Reward: 1.0 | Epsilon 0.966
Episode 182 | Reward: 2.0 | Epsilon 0.966
Episode 183 | Reward: 3.0 | Epsilon 0.965
Episode 184 | Reward: 3.0 | Epsilon 0.965
Target updated at step 35000
Episode 185 | Reward: 2.0 | Epsilon 0.965
Episode 186 | Reward: 0.0 | Epsilon 0.965
Episode 187 | Reward: 4.0 | Epsilon 0.964
Episode 188 | Reward: 1.0 | Epsilon 0.964
Episode 189 | Reward: 4.0 | Epsilon 0.964
Episode 190 | Reward: 2.0 | Epsilon 0.964
Episode 191 | Reward: 3.0 | Epsilon 0.963
Episode 192 | Reward: 2.0 | Epsilon 0.963
Episode 193 | Reward: 0.0 | Epsilon 0.963
Episode 194 | Reward: 2.0 | Epsilon 0.963
Episode 195 | Reward: 2.0 | Epsilon 0.963
Episode 196 | Reward: 1.0 | Epsilon 0.962
Episode 197 | Reward: 2.0 | Epsilon 0.962
Episode 198 | Reward: 1.0 | Epsilon 0.962
Episode 199 | Reward: 3.0 | Epsilon 0.962
Episode 200 | Reward: 0.0 | Epsilon 0.962
